season,woba,woba_scale,w_bb,w_hbp,w_1b,w_2b,w_3b,w_hr,r_per_pa,c_fip
1871,0.311547,0.909076,0.796926,0.819653,0.937833,1.21056,1.45601,1.58425,0.237093,3.579999876022339
1872,0.29725,1.01987,0.790715,0.816211,0.948794,1.25475,1.53012,1.72507,0.212859,3.507711124420166
1873,0.303249,1.02529,0.788111,0.813743,0.947031,1.25462,1.53145,1.73866,0.206984,2.9316532135009767
1874,0.28242,1.14524,0.760213,0.788844,0.937725,1.2813,1.59051,1.88575,0.179421,2.8075570583343508
1875,0.260727,1.27438,0.729593,0.761452,0.927122,1.30944,1.65352,2.04486,0.15634,2.3695427894592287
1876,0.277362,1.29249,0.736663,0.768975,0.936998,1.32475,1.67372,2.08685,0.149875,2.2334365367889406
1877,0.289038,1.27515,0.735102,0.766981,0.932751,1.3153,1.65959,2.07425,0.145589,2.8389384269714357
1878,0.278627,1.35313,0.726424,0.760252,0.936159,1.3421,1.70744,2.17301,0.135922,2.536101055145264
1879,0.270811,1.30865,0.710543,0.743259,0.913383,1.30598,1.65931,2.10292,0.138223,2.739348125457764
1880,0.267002,1.37073,0.700643,0.734912,0.913107,1.32433,1.69443,2.18603,0.127431,2.53327054977417
1881,0.290122,1.31359,0.724575,0.757415,0.928182,1.32226,1.67693,2.12915,0.134829,2.6876739978790285
1882,0.27585,1.29628,0.716783,0.74919,0.917707,1.30659,1.65659,2.09065,0.14099,2.7639564990997316
1883,0.28591,1.23511,0.726753,0.757631,0.918196,1.28873,1.62221,2.01506,0.150505,3.2561318397521974
1884,0.278993,1.28804,0.72494,0.757141,0.924586,1.311,1.65877,2.08225,0.145929,3.2694746971130373
1885,0.287828,1.31989,0.732665,0.765662,0.937248,1.33321,1.68958,2.13567,0.139551,2.8807913780212404
1886,0.302538,1.28194,0.75125,0.783298,0.949951,1.33453,1.68066,2.09726,0.14611,3.1008095264434816
1887,0.331559,1.14611,0.771046,0.799698,0.948693,1.29253,1.60198,1.93612,0.164522,3.2767011642456056
1888,0.290789,1.36316,0.732206,0.766285,0.943496,1.35244,1.7205,2.19921,0.131226,2.6589080810546877
1889,0.333294,1.2042,0.775985,0.806091,0.962637,1.3239,1.64903,2.01918,0.153584,3.0797526359558107
1890,0.336737,1.21015,0.78352,0.813773,0.971092,1.33414,1.66088,2.03094,0.153343,2.9681655883789064
1891,0.331521,1.25046,0.777545,0.808807,0.971366,1.3465,1.68413,2.08216,0.145878,2.67920036315918
1892,0.316774,1.33222,0.762118,0.795423,0.968611,1.36828,1.72797,2.18188,0.132946,2.529946041107178
1893,0.356391,1.12896,0.794425,0.822649,0.969413,1.3081,1.61292,1.93693,0.161982,3.3739811897277834
1894,0.378761,0.995831,0.800531,0.825427,0.954885,1.25363,1.52251,1.77292,0.183755,3.9286062240600588
1895,0.361408,1.09054,0.791132,0.818395,0.960165,1.28733,1.58177,1.88816,0.165493,3.726950836181641
1896,0.35417,1.15188,0.782017,0.810813,0.960557,1.30612,1.61713,1.9668,0.153558,3.4248654365539553
1897,0.35421,1.16181,0.780804,0.809849,0.960884,1.30943,1.62312,1.98074,0.1508,3.3228017807006838
1898,0.333907,1.31112,0.767531,0.800309,0.970755,1.36409,1.71809,2.16948,0.130481,2.7664634704589846
1899,0.343462,1.24777,0.771357,0.802551,0.964761,1.33909,1.67599,2.09034,0.138069,2.9346220016479494
